,nombre,fecha_limite,enlaces
30,CONSULTA PÚBLICA SOBRE DIVERSAS REGLAS Y DISPOSICIONES ESPECÍFICAS EMITIDAS MEDIANTE LA CIRCULAR 4/2022,Cerrado el 22/04/2022,"{'Plan de consulta': 'https://www.banxico.org.mx/ConsultaRegulacionWeb/downloadFile?fileId={0ACF750B-DFE3-E418-9E42-1B67755995B3}', 'Proyecto de disposiciones': 'https://www.banxico.org.mx/ConsultaRegulacionWeb/downloadFile?fileId={052ACB8E-425A-0DC6-F3CA-B808494DD1FA}'}"
31,CONSULTA PÚBLICA SOBRE DIVERSAS REGLAS Y DISPOSICIONES ESPECÍFICAS EMITIDAS MEDIANTE LA CIRCULAR 3/2022,Cerrado el 22/04/2022,"{'Plan de consulta': 'https://www.banxico.org.mx/ConsultaRegulacionWeb/downloadFile?fileId={84B91F4E-3842-C008-379D-6A021091B44D}', 'Proyecto de disposiciones': 'https://www.banxico.org.mx/ConsultaRegulacionWeb/downloadFile?fileId={C2173FC7-A057-8DEA-CFD6-CA6065616DDF}'}"
32,CONSULTA PÚBLICA SOBRE DIVERSAS REGLAS Y DISPOSICIONES ESPECÍFICAS EMITIDAS MEDIANTE LA CIRCULAR 1/2022,Cerrado el 22/04/2022,"{'Plan de consulta': 'https://www.banxico.org.mx/ConsultaRegulacionWeb/downloadFile?fileId={CB46BB30-B81A-4897-64CE-0F86D8EF97A5}', 'Proyecto de disposiciones': 'https://www.banxico.org.mx/ConsultaRegulacionWeb/downloadFile?fileId={521876C6-C709-1DFC-63F0-23BEE1A70CB1}'}"
33,"PROYECTO DE MODIFICACIONES A LA CIRCULAR DE OPERACIONES DE CAJA, RESPECTO DE LA REGULACIÓN APLICABLE A LAS INSTITUCIONES DE CRÉDITO PARA LA OPERACIÓN DE CAJEROS AUTOMÁTICOS ACEPTADORES Y DISPENSADORES DE BILLETES",Cerrado el 07/01/2022,"{'Plan de consulta': 'https://www.banxico.org.mx/ConsultaRegulacionWeb/downloadFile?fileId={6B1FCFF4-8FDA-3E1A-327A-E24F1ABD86E1}', 'Proyecto de disposiciones': 'https://www.banxico.org.mx/ConsultaRegulacionWeb/downloadFile?fileId={35460AD3-CB76-A791-7926-1DD18F9F06C4}'}"
34,"PROYECTOS DE MODIFICACIONES A LAS CIRCULARES 14/2007 Y 3/2012, EN MATERIA DE TASAS DE REFERENCIA EXTERNAS",Cerrado el 21/10/2021,"{'Plan de consulta': 'https://www.banxico.org.mx/ConsultaRegulacionWeb/downloadFile?fileId={6A921AEB-840F-965E-34F6-A5D9F21625F7}', 'Proyecto de disposiciones': 'https://www.banxico.org.mx/ConsultaRegulacionWeb/downloadFile?fileId={044B5F76-13A1-6C8F-34F1-481FFACC278D}'}"
35,"PROYECTOS DE MODIFICACIONES A LAS CIRCULARES 14/2007 Y 3/2012, EN MATERIA DE TASAS DE REFERENCIA EXTERNAS",Cerrado el 21/10/2021,"{'Plan de consulta': 'https://www.banxico.org.mx/ConsultaRegulacionWeb/downloadFile?fileId={6A921AEB-840F-965E-34F6-A5D9F21625F7}', 'Proyecto de disposiciones': 'https://www.banxico.org.mx/ConsultaRegulacionWeb/downloadFile?fileId={9C711D31-6C61-026B-DA96-91A761CE3AC9}'}"
36,"PROYECTO DE MODIFICACIONES A LAS REGLAS DEL MÓDULO DE ATENCIÓN ELECTRÓNICA, EN MATERIA DE ENTIDADES PARTICIPANTES EN DICHO MÓDULO",Cerrado el 06/09/2021,"{'Plan de consulta': 'https://www.banxico.org.mx/ConsultaRegulacionWeb/downloadFile?fileId={925A8BD9-4279-CEFE-579C-9032CBE6CCC7}', 'Proyecto de disposiciones': 'https://www.banxico.org.mx/ConsultaRegulacionWeb/downloadFile?fileId={EFB00D9E-8EA9-49DB-1CDE-319D4E1FCAFB}'}"
37,"PROYECTO DE MODIFICACIONES A LA CIRCULAR DE OPERACIONES DE CAJA, EN MATERIA DE INVENTARIOS DE MONEDAS METÁLICAS DE LAS INSTITUCIONES DE CRÉDITO",Cerrado el 05/08/2021,"{'Plan de consulta': 'https://www.banxico.org.mx/ConsultaRegulacionWeb/downloadFile?fileId={A12EFDD9-8D75-FA1D-C2C6-74FD2021FBF6}', 'Proyecto de disposiciones': 'https://www.banxico.org.mx/ConsultaRegulacionWeb/downloadFile?fileId={B4A7AEE5-6DCA-AA94-989E-1D5FE390A464}', 'Reporte de comentarios': 'https://www.banxico.org.mx/ConsultaRegulacionWeb/downloadFile?fileId={ADC394D7-D89F-F8D4-C3A6-B92836FF3B65}'}"
38,"PROYECTO DE MODIFICACIONES A LA CIRCULAR 3/2017, RELATIVA A LAS REGLAS PARA LAS SUBASTAS DE COBERTURAS CAMBIARIAS",Cerrado el 18/06/2021,"{'Plan de consulta': 'https://www.banxico.org.mx/ConsultaRegulacionWeb/downloadFile?fileId={B10D16F8-C964-E441-606F-80841E676122}', 'Proyecto de disposiciones': 'https://www.banxico.org.mx/ConsultaRegulacionWeb/downloadFile?fileId={0B47E232-B051-9104-25F1-DA478166AEE6}'}"
39,"PROYECTO DE MODIFICACIONES A LA CIRCULAR 3/2012, EN MATERIA DE CUENTAS DE DEPÓSITO A LA VISTA DE PERSONAS FÍSICAS MEXICANAS RESIDENTES EN EL EXTERIOR Y TARJETAS BANCARIAS PREPAGADAS DENOMINADAS EN MONEDA NACIONAL",Cerrado el 12/04/2021,"{'Plan de consulta': 'https://www.banxico.org.mx/ConsultaRegulacionWeb/downloadFile?fileId={292B736F-E181-673C-21BC-F2B284743B50}', 'Proyecto de disposiciones': 'https://www.banxico.org.mx/ConsultaRegulacionWeb/downloadFile?fileId={C1F54D19-E58D-5DDD-C479-0861095A2606}'}"
40,PROYECTO DE REGLAS APLICABLES A LOS FINANCIAMIENTOS CONTINGENTES DEL BANCO DE MÉXICO GARANTIZADOS CON DÓLARES DE LOS EE.UU.A. O VALORES GUBERNAMENTALES,Cerrado el 12/04/2021,"{'Plan de consulta': 'https://www.banxico.org.mx/ConsultaRegulacionWeb/downloadFile?fileId={D1B06295-725C-B2B9-CC0C-DBE567475E3E}', 'Proyecto de disposiciones': 'https://www.banxico.org.mx/ConsultaRegulacionWeb/downloadFile?fileId={3E3FBF7C-D098-AA98-1584-209CCF002515}'}"
41,PROYECTO DE DISPOSICIONES DE CARÁCTER GENERAL PARA EL MANTENIMIENTO DE DIVISAS Y OPERACIONES CON ESTAS DE LAS DEPENDENCIAS Y ENTIDADES DE LA ADMINISTRACIÓN PÚBLICA FEDERAL QUE NO TENGAN EL CARÁCTER DE INTERMEDIARIOS FINANCIEROS,Cerrado el 12/04/2021,"{'Plan de consulta': 'https://www.banxico.org.mx/ConsultaRegulacionWeb/downloadFile?fileId={23BFD288-47E7-F703-8624-A70FF878F721}', 'Proyecto de disposiciones': 'https://www.banxico.org.mx/ConsultaRegulacionWeb/downloadFile?fileId={EC9217F5-A860-9496-1B43-06C9971506DE}'}"
